SUBJECT,COURSENO,SECTIONNO,TITLE,FACULTY,CREDITS,INSTRUCTORFULLNAME,PARTOFTERM,COREQUISITE,PREREQUISITE,DESCRIPTION,SCHEDULEFORPRINT
IE,400,A,Staj II,Mühendislik Fakültesi,4,DİLEK GÜNNEÇ DANIŞ,UG Tam,,SEC 201,This is the second of a series of two internship classes. It covers applications of industrial engineering in a workplace. The company should be selected such that industrial engineering problems can be observed. Total internship duration for IE 300 and IE 400 must be 40 days.,
IE,401,A,Endüstri Mühendisliği Bitirme Projesi I,Mühendislik Fakültesi,4,ELVİN ÇOBAN GÖKTÜRK,UG Tam,,"(IE 101 ve IE 201) ve ( (IE 301, IE 302, IE 325, IE 342, IE343 ) derslerinden 4 tanesini) geçmiş olmak","This course is the first stage of IE design project by which the students will gain ability to design a complex system, process, device or product. Students propose a system/ process/ device or product design under their advisor’s supervision. ","Pazartesi | 09:40 - 12:30
"
IE,401,B,Endüstri Mühendisliği Bitirme Projesi I,Mühendislik Fakültesi,4,ALİ EKİCİ,UG Tam,,"(IE 101 ve IE 201) ve ( (IE 301, IE 302, IE 325, IE 342, IE343 ) derslerinden 4 tanesini) geçmiş olmak","This course is the first stage of IE design project by which the students will gain ability to design a complex system, process, device or product. Students propose a system/ process/ device or product design under their advisor’s supervision. ","Pazartesi | 09:40 - 12:30
"
IE,401,C,Endüstri Mühendisliği Bitirme Projesi I,Mühendislik Fakültesi,4,EKREM DUMAN,UG Tam,,"(IE 101 ve IE 201) ve ( (IE 301, IE 302, IE 325, IE 342, IE343 ) derslerinden 4 tanesini) geçmiş olmak","This course is the first stage of IE design project by which the students will gain ability to design a complex system, process, device or product. Students propose a system/ process/ device or product design under their advisor’s supervision. ","Pazartesi | 09:40 - 12:30
"
IE,401,D,Endüstri Mühendisliği Bitirme Projesi I,Mühendislik Fakültesi,4,ENİS KAYIŞ,UG Tam,,"(IE 101 ve IE 201) ve ( (IE 301, IE 302, IE 325, IE 342, IE343 ) derslerinden 4 tanesini) geçmiş olmak","This course is the first stage of IE design project by which the students will gain ability to design a complex system, process, device or product. Students propose a system/ process/ device or product design under their advisor’s supervision. ","Pazartesi | 09:40 - 12:30
"
IE,401,E,Endüstri Mühendisliği Bitirme Projesi I,Mühendislik Fakültesi,4,İSMAİL BAŞOĞLU,UG Tam,,"(IE 101 ve IE 201) ve ( (IE 301, IE 302, IE 325, IE 342, IE343 ) derslerinden 4 tanesini) geçmiş olmak","This course is the first stage of IE design project by which the students will gain ability to design a complex system, process, device or product. Students propose a system/ process/ device or product design under their advisor’s supervision. ","Pazartesi | 09:40 - 12:30
"
IE,401,F,Endüstri Mühendisliği Bitirme Projesi I,Mühendislik Fakültesi,4,MEHMET ÖNAL,UG Tam,,"(IE 101 ve IE 201) ve ( (IE 301, IE 302, IE 325, IE 342, IE343 ) derslerinden 4 tanesini) geçmiş olmak","This course is the first stage of IE design project by which the students will gain ability to design a complex system, process, device or product. Students propose a system/ process/ device or product design under their advisor’s supervision. ","Pazartesi | 09:40 - 12:30
"
IE,401,G,Endüstri Mühendisliği Bitirme Projesi I,Mühendislik Fakültesi,4,MILAD ELYASI,UG Tam,,"(IE 101 ve IE 201) ve ( (IE 301, IE 302, IE 325, IE 342, IE343 ) derslerinden 4 tanesini) geçmiş olmak","This course is the first stage of IE design project by which the students will gain ability to design a complex system, process, device or product. Students propose a system/ process/ device or product design under their advisor’s supervision. ","Pazartesi | 09:40 - 12:30
"
IE,402,A,Endüstri Mühendisliği Bitirme Projesi II,Mühendislik Fakültesi,4,BURCU BALÇIK KOYUNCU,UG Tam,,IE 401,"This course is the second stage of IE design project by which the students will gain ability to design a complex system, process, device or product. Students propose a system/ process/ device or product design under their advisor’s supervision.","Pazartesi | 12:40 - 15:30
"
IE,411,A,Finansta Yapay Zeka,Mühendislik Fakültesi,6,YUSUF SERKAN KIRAÇ,UG Tam,,(CS 101 or CS 104) and (MATH 215 or MATH 217),"Bu ders, finans sektöründeki ürünlere genel bakış (kredi, tasarruf, tahviller, türevler), finans sektöründe fiyatlandırma ve portföy optimizasyonu, finans sektörünün makine öğrenimi ve yapay zekayı nasıl kullandığı, finans sektöründe tahmini analitiğin (doğrusal ve lojistik regresyon, karar ağaçları, rastgele orman, güçlendirme, sinir ağları) uygulamaları (kredi temerrütlerini, müşteri kaybını, fon yatırım getirisini tahmin etme) gibi konuları kapsamaktadır.","Çarşamba | 12:40 - 15:30
"
IE,490,A,Endüstri Mühendisliğinde Araştırmaya Giriş,Mühendislik Fakültesi,6,ELVİN ÇOBAN GÖKTÜRK,UG Tam,,IE 342 ve IE 343 ve en az 150 AKTS tamamlamak ve en az 3.00 Genel Not Ortalamasına sahip olmak,,
IEC,391,A,Proje Yönetimi (Sertifika Seçmeli),Mühendislik Fakültesi,4,AYDIN GÖKHAN KAHRAMAN,UG Tam,,SEC 201,,"Çarşamba | 17:40 - 20:30
"
IEC,399,A,İnovasyon ve Teknoloji Yönetimi,Mühendislik Fakültesi,4,ESRA GÖKBAYRAK,UG Tam,,SEC 201,,"Perşembe | 08:40 - 11:30
"
MATH,101,A,Sosyal Bilimler için Matematik I,Mühendislik Fakültesi,6,JÜLİDE MİRAY ÖZKAN,UG Tam,MATH 101R,,"MATH 101 dersi tek değişkenli fonksiyonların diferansiyel ve integral hesabını kapsar. İçerdiği konular; fonksiyonlar ve grafikleri, doğrusal ve kuadratik fonksiyonlar, limit ve süreklilik, türev, türev kuralları, kapalı türetme, logaritmik türetme, eğri çizimi, belirsiz integral, belirli integral, integrasyon yöntemleri, ve belirli integral uygulamaları ve genelleştirilmiş integraller şeklindedir.","Pazartesi | 10:40 - 12:30
Çarşamba | 14:40 - 15:30
"
MATH,101,B,Sosyal Bilimler için Matematik I,Mühendislik Fakültesi,6,JÜLİDE MİRAY ÖZKAN,UG Tam,MATH 101R,,"MATH 101 dersi tek değişkenli fonksiyonların diferansiyel ve integral hesabını kapsar. İçerdiği konular; fonksiyonlar ve grafikleri, doğrusal ve kuadratik fonksiyonlar, limit ve süreklilik, türev, türev kuralları, kapalı türetme, logaritmik türetme, eğri çizimi, belirsiz integral, belirli integral, integrasyon yöntemleri, ve belirli integral uygulamaları ve genelleştirilmiş integraller şeklindedir.","Pazartesi | 14:40 - 16:30
Çarşamba | 10:40 - 11:30
"
MATH,101,C,Sosyal Bilimler için Matematik I,Mühendislik Fakültesi,6,AYÇA ÇEŞMELİOĞLU GÜL,UG Tam,MATH 101R,,"MATH 101 dersi tek değişkenli fonksiyonların diferansiyel ve integral hesabını kapsar. İçerdiği konular; fonksiyonlar ve grafikleri, doğrusal ve kuadratik fonksiyonlar, limit ve süreklilik, türev, türev kuralları, kapalı türetme, logaritmik türetme, eğri çizimi, belirsiz integral, belirli integral, integrasyon yöntemleri, ve belirli integral uygulamaları ve genelleştirilmiş integraller şeklindedir.","Pazartesi | 10:40 - 12:30
Çarşamba | 14:40 - 15:30
"
MATH,101,D,Sosyal Bilimler için Matematik I,Mühendislik Fakültesi,6,AYÇA ÇEŞMELİOĞLU GÜL,UG Tam,MATH 101R,,"MATH 101 dersi tek değişkenli fonksiyonların diferansiyel ve integral hesabını kapsar. İçerdiği konular; fonksiyonlar ve grafikleri, doğrusal ve kuadratik fonksiyonlar, limit ve süreklilik, türev, türev kuralları, kapalı türetme, logaritmik türetme, eğri çizimi, belirsiz integral, belirli integral, integrasyon yöntemleri, ve belirli integral uygulamaları ve genelleştirilmiş integraller şeklindedir.","Pazartesi | 14:40 - 16:30
Çarşamba | 10:40 - 11:30
"
MATH,101,E,Sosyal Bilimler için Matematik I,Mühendislik Fakültesi,6,BURÇİN GÜNEŞ,UG Tam,MATH 101R,,"MATH 101 dersi tek değişkenli fonksiyonların diferansiyel ve integral hesabını kapsar. İçerdiği konular; fonksiyonlar ve grafikleri, doğrusal ve kuadratik fonksiyonlar, limit ve süreklilik, türev, türev kuralları, kapalı türetme, logaritmik türetme, eğri çizimi, belirsiz integral, belirli integral, integrasyon yöntemleri, ve belirli integral uygulamaları ve genelleştirilmiş integraller şeklindedir.","Pazartesi | 10:40 - 12:30
Çarşamba | 14:40 - 15:30
"
MATH,101,F,Sosyal Bilimler için Matematik I,Mühendislik Fakültesi,6,BURÇİN GÜNEŞ,UG Tam,MATH 101R,,"MATH 101 dersi tek değişkenli fonksiyonların diferansiyel ve integral hesabını kapsar. İçerdiği konular; fonksiyonlar ve grafikleri, doğrusal ve kuadratik fonksiyonlar, limit ve süreklilik, türev, türev kuralları, kapalı türetme, logaritmik türetme, eğri çizimi, belirsiz integral, belirli integral, integrasyon yöntemleri, ve belirli integral uygulamaları ve genelleştirilmiş integraller şeklindedir.","Pazartesi | 14:40 - 16:30
Çarşamba | 10:40 - 11:30
"
MATH,101,G,Sosyal Bilimler için Matematik I,Mühendislik Fakültesi,6,CAN DEHA KARIKSIZ,UG Tam,MATH 101R,,"MATH 101 dersi tek değişkenli fonksiyonların diferansiyel ve integral hesabını kapsar. İçerdiği konular; fonksiyonlar ve grafikleri, doğrusal ve kuadratik fonksiyonlar, limit ve süreklilik, türev, türev kuralları, kapalı türetme, logaritmik türetme, eğri çizimi, belirsiz integral, belirli integral, integrasyon yöntemleri, ve belirli integral uygulamaları ve genelleştirilmiş integraller şeklindedir.","Pazartesi | 10:40 - 12:30
Çarşamba | 14:40 - 15:30
"
MATH,101,H,Sosyal Bilimler için Matematik I,Mühendislik Fakültesi,6,CAN DEHA KARIKSIZ,UG Tam,MATH 101R,,"MATH 101 dersi tek değişkenli fonksiyonların diferansiyel ve integral hesabını kapsar. İçerdiği konular; fonksiyonlar ve grafikleri, doğrusal ve kuadratik fonksiyonlar, limit ve süreklilik, türev, türev kuralları, kapalı türetme, logaritmik türetme, eğri çizimi, belirsiz integral, belirli integral, integrasyon yöntemleri, ve belirli integral uygulamaları ve genelleştirilmiş integraller şeklindedir.","Pazartesi | 14:40 - 16:30
Çarşamba | 10:40 - 11:30
"
MATH,101,I,Sosyal Bilimler için Matematik I,Mühendislik Fakültesi,6,SELÇUK DEMİR,UG Tam,MATH 101R,,"MATH 101 dersi tek değişkenli fonksiyonların diferansiyel ve integral hesabını kapsar. İçerdiği konular; fonksiyonlar ve grafikleri, doğrusal ve kuadratik fonksiyonlar, limit ve süreklilik, türev, türev kuralları, kapalı türetme, logaritmik türetme, eğri çizimi, belirsiz integral, belirli integral, integrasyon yöntemleri, ve belirli integral uygulamaları ve genelleştirilmiş integraller şeklindedir.","Pazartesi | 10:40 - 12:30
Çarşamba | 14:40 - 15:30
"
MATH,101,J,Sosyal Bilimler için Matematik I,Mühendislik Fakültesi,6,SELÇUK DEMİR,UG Tam,MATH 101R,,"MATH 101 dersi tek değişkenli fonksiyonların diferansiyel ve integral hesabını kapsar. İçerdiği konular; fonksiyonlar ve grafikleri, doğrusal ve kuadratik fonksiyonlar, limit ve süreklilik, türev, türev kuralları, kapalı türetme, logaritmik türetme, eğri çizimi, belirsiz integral, belirli integral, integrasyon yöntemleri, ve belirli integral uygulamaları ve genelleştirilmiş integraller şeklindedir.","Pazartesi | 14:40 - 16:30
Çarşamba | 10:40 - 11:30
"
MATH,101R,A,Sosyal Bilimler için Matematik I - Rec.,Mühendislik Fakültesi,0, ,UG Tam,MATH 101,,,"Çarşamba | 15:40 - 16:30
"
MATH,101R,B,Sosyal Bilimler için Matematik I - Rec.,Mühendislik Fakültesi,0, ,UG Tam,MATH 101,,,"Çarşamba | 11:40 - 12:30
"
MATH,101R,C,Sosyal Bilimler için Matematik I - Rec.,Mühendislik Fakültesi,0, ,UG Tam,MATH 101,,,"Çarşamba | 15:40 - 16:30
"
MATH,101R,D,Sosyal Bilimler için Matematik I - Rec.,Mühendislik Fakültesi,0, ,UG Tam,MATH 101,,,"Çarşamba | 11:40 - 12:30
"
MATH,101R,E,Sosyal Bilimler için Matematik I - Rec.,Mühendislik Fakültesi,0, ,UG Tam,MATH 101,,,"Çarşamba | 15:40 - 16:30
"
MATH,101R,F,Sosyal Bilimler için Matematik I - Rec.,Mühendislik Fakültesi,0, ,UG Tam,MATH 101,,,"Çarşamba | 11:40 - 12:30
"
MATH,101R,G,Sosyal Bilimler için Matematik I - Rec.,Mühendislik Fakültesi,0, ,UG Tam,MATH 101,,,"Çarşamba | 15:40 - 16:30
"
MATH,101R,H,Sosyal Bilimler için Matematik I - Rec.,Mühendislik Fakültesi,0, ,UG Tam,MATH 101,,,"Çarşamba | 11:40 - 12:30
"
MATH,101R,I,Sosyal Bilimler için Matematik I - Rec.,Mühendislik Fakültesi,0, ,UG Tam,MATH 101,,,"Çarşamba | 15:40 - 16:30
"
MATH,101R,J,Sosyal Bilimler için Matematik I - Rec.,Mühendislik Fakültesi,0, ,UG Tam,MATH 101,,,"Çarşamba | 11:40 - 12:30
"
MATH,102,A,Sosyal Bilimler için Matematik II,Mühendislik Fakültesi,6, ,UG Tam,MATH 102R,MATH 101,"MATH 102 dersi çok değişkenli fonksiyonların diferansiyel ve integral hesabını ve matris cebrini kapsar. İçerdiği konular diziler ve seriler, trigonometrik fonksiyonlar, diferansiyel denklemler, genelleştirlmiş integraller, kısmi türevler, kapalı türetme, zincir kuralı, maksimum ve minimum, Lagrange çarpanları, katlı integraller,   matrisler, matris çarpımı, indirgeme yöntemi, ters matris şeklindedir.","Pazartesi | 14:40 - 16:30
Çarşamba | 10:40 - 11:30
"
MATH,102,B,Sosyal Bilimler için Matematik II,Mühendislik Fakültesi,6, ,UG Tam,MATH 102R,MATH 101,"MATH 102 dersi çok değişkenli fonksiyonların diferansiyel ve integral hesabını ve matris cebrini kapsar. İçerdiği konular diziler ve seriler, trigonometrik fonksiyonlar, diferansiyel denklemler, genelleştirlmiş integraller, kısmi türevler, kapalı türetme, zincir kuralı, maksimum ve minimum, Lagrange çarpanları, katlı integraller,   matrisler, matris çarpımı, indirgeme yöntemi, ters matris şeklindedir.","Pazartesi | 10:40 - 12:30
Çarşamba | 14:40 - 15:30
"
